Year,Month,Day,Date,Temp,Dew Point ,Humidity,Sea Level Pressure,Visibility,Wind,Precip,Events
2013,8,29,8/29/13,68,58,75,30.02,10,11,0,
2013,8,30,8/30/13,69,58,70,30,10,13,0,
2013,8,31,8/31/13,64,56,75,29.96,10,15,0,
2013,9,1,9/1/13,66,56,68,29.93,10,13,0,
2013,9,2,9/2/13,69,60,77,29.94,10,12,0,
2013,9,3,9/3/13,67,56,65,29.98,10,15,0,
2013,9,4,9/4/13,68,57,72,30.01,10,19,0,
2013,9,5,9/5/13,66,56,74,30,10,21,0,
2013,9,6,9/6/13,71,51,58,29.92,10,8,0,
2013,9,7,9/7/13,73,54,59,29.85,10,8,0,
2013,9,8,9/8/13,65,54,70,29.83,10,11,0,
2013,9,9,9/9/13,66,55,70,29.77,10,11,0,
2013,9,10,9/10/13,66,56,73,29.82,10,8,0,
2013,9,11,9/11/13,68,55,68,29.97,10,9,0,
2013,9,12,9/12/13,65,57,73,29.95,10,11,0,Fog
2013,9,13,9/13/13,62,54,80,29.87,10,15,0,
2013,9,14,9/14/13,62,54,77,29.81,10,16,0,
2013,9,15,9/15/13,66,55,72,29.85,10,13,0,
2013,9,16,9/16/13,65,55,74,29.87,10,16,0,
2013,9,17,9/17/13,63,53,72,29.87,10,22,0,
2013,9,18,9/18/13,66,49,60,29.88,10,10,0,
2013,9,19,9/19/13,67,50,58,29.82,10,10,0,
2013,9,20,9/20/13,65,56,70,29.84,10,10,0,
2013,9,21,9/21/13,63,56,75,29.85,9,12,0.23,Rain
2013,9,22,9/22/13,63,53,70,29.97,10,10,0,
2013,9,23,9/23/13,68,54,64,29.99,10,9,0,
2013,9,24,9/24/13,65,52,66,29.97,10,19,0,
2013,9,25,9/25/13,62,47,64,29.91,10,20,0,
2013,9,26,9/26/13,62,43,53,29.92,10,11,0,
2013,9,27,9/27/13,66,41,46,30.06,10,7,0,
2013,9,28,9/28/13,66,48,60,30.06,10,9,0,
2013,9,29,9/29/13,66,56,70,30.09,10,7,0,
2013,9,30,9/30/13,66,57,69,30.03,10,10,T,Fog
2013,10,1,10/1/13,63,48,61,29.98,10,13,0,
2013,10,2,10/2/13,62,46,61,29.98,10,14,0,
2013,10,3,10/3/13,62,41,47,30.02,10,13,0,
2013,10,4,10/4/13,69,42,38,30.05,10,9,0,
